n_labels_reported,mean_sensitivity,mean_specificity,mean_f1,mean_ppv,mean_npv,mean_auroc,mean_auprc,macro_auroc,macro_auprc,n_labels_macro_auc,micro_auroc,micro_auprc,hospital,mode,n_samples,elapsed_s
13,0.6748,0.8905,0.4312,0.4082,0.9681,0.8508,0.4417,0.8509,0.4416,13,0.8164,0.3649,CPSC,zero_shot,0,30.0
13,0.6189,0.9314,0.4476,0.456,0.9652,0.8576,0.4038,0.8577,0.4038,13,0.8105,0.3863,CPSC,fine_tune,100,16.8
13,0.6425,0.91,0.4304,0.4342,0.9662,0.8542,0.4011,0.8541,0.401,13,0.8556,0.4786,CPSC,fine_tune,500,35.9
13,0.4909,0.8827,0.387,0.3731,0.9715,0.8484,0.3547,0.8484,0.3547,13,0.9239,0.6576,CPSC,fine_tune,1000,49.1
13,0.6048,0.9603,0.4785,0.4505,0.9813,0.9199,0.4722,0.9199,0.4722,13,0.969,0.8355,CPSC,fine_tune,3000,120.4
13,0.3649,0.8173,0.224,0.1888,0.955,0.5775,0.2064,0.5774,0.2063,13,0.8686,0.4415,CPSC,scratch,100,30.2
13,0.3607,0.9075,0.2799,0.2542,0.9604,0.6899,0.2592,0.6899,0.2592,13,0.9103,0.5827,CPSC,scratch,500,74.8
13,0.3685,0.9378,0.3337,0.3535,0.967,0.777,0.3214,0.7771,0.3214,13,0.9288,0.6324,CPSC,scratch,1000,106.9
13,0.5506,0.9505,0.4017,0.3774,0.9735,0.887,0.3911,0.887,0.3911,13,0.9546,0.7373,CPSC,scratch,3000,247.3
