Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.897,"(np.float64(0.891), np.float64(0.904))",0.001,"(np.float64(0.001), np.float64(0.003))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.384,0.056,"(np.float64(0.0), np.float64(0.194))",0.998,"(np.float64(0.998), np.float64(0.999))",0.059,"(np.float64(0.0), np.float64(0.191))",0.062,"(np.float64(0.0), np.float64(0.232))",0.998,"(np.float64(0.997), np.float64(0.999))",0.803,"(np.float64(0.74), np.float64(0.868))",0.011,"(np.float64(0.003), np.float64(0.037))"
ATRIAL FLUTTER,31,9366,0.667,0.032,"(np.float64(0.0), np.float64(0.134))",0.998,"(np.float64(0.997), np.float64(0.999))",0.036,"(np.float64(0.0), np.float64(0.141))",0.042,"(np.float64(0.0), np.float64(0.115))",0.997,"(np.float64(0.995), np.float64(0.998))",0.754,"(np.float64(0.651), np.float64(0.853))",0.011,"(np.float64(0.006), np.float64(0.025))"
PREMATURE ATRIAL COMPLEXES,1,9396,0.101,1.0,"(np.float64(0.0), np.float64(1.0))",0.682,"(np.float64(0.671), np.float64(0.69))",0.001,"(np.float64(0.0), np.float64(0.002))",0.0,"(np.float64(0.0), np.float64(0.001))",1.0,"(np.float64(1.0), np.float64(1.0))",0.747,"(np.float64(0.739), np.float64(0.754))",0.0,"(np.float64(0.0), np.float64(0.002))"
FUSION COMPLEXES,27,9370,0.566,0.074,"(np.float64(0.0), np.float64(0.178))",0.992,"(np.float64(0.99), np.float64(0.994))",0.04,"(np.float64(0.0), np.float64(0.109))",0.027,"(np.float64(0.0), np.float64(0.072))",0.997,"(np.float64(0.996), np.float64(0.998))",0.693,"(np.float64(0.578), np.float64(0.791))",0.01,"(np.float64(0.005), np.float64(0.032))"
INFERIOR INFARCT,8,9389,0.293,0.125,"(np.float64(0.0), np.float64(0.368))",0.997,"(np.float64(0.996), np.float64(0.998))",0.053,"(np.float64(0.0), np.float64(0.17))",0.033,"(np.float64(0.0), np.float64(0.127))",0.999,"(np.float64(0.999), np.float64(1.0))",0.686,"(np.float64(0.554), np.float64(0.798))",0.006,"(np.float64(0.001), np.float64(0.046))"
ATRIAL FIBRILLATION,25,9372,0.596,0.04,"(np.float64(0.0), np.float64(0.115))",0.99,"(np.float64(0.988), np.float64(0.992))",0.017,"(np.float64(0.0), np.float64(0.052))",0.01,"(np.float64(0.0), np.float64(0.036))",0.997,"(np.float64(0.996), np.float64(0.998))",0.676,"(np.float64(0.582), np.float64(0.752))",0.005,"(np.float64(0.003), np.float64(0.011))"
ANTERIOR INFARCT,5,9392,0.384,0.2,"(np.float64(0.0), np.float64(0.5))",0.971,"(np.float64(0.968), np.float64(0.974))",0.007,"(np.float64(0.0), np.float64(0.024))",0.004,"(np.float64(0.0), np.float64(0.014))",1.0,"(np.float64(0.999), np.float64(1.0))",0.651,"(np.float64(0.185), np.float64(0.892))",0.002,"(np.float64(0.0), np.float64(0.008))"
VENTRICULAR TACHYCARDIA,81,9316,0.96,0.074,"(np.float64(0.014), np.float64(0.124))",0.999,"(np.float64(0.998), np.float64(1.0))",0.122,"(np.float64(0.043), np.float64(0.189))",0.353,"(np.float64(0.121), np.float64(0.566))",0.992,"(np.float64(0.991), np.float64(0.994))",0.643,"(np.float64(0.575), np.float64(0.715))",0.054,"(np.float64(0.027), np.float64(0.112))"
LOW VOLTAGE QRS,277,9120,0.646,0.141,"(np.float64(0.106), np.float64(0.182))",0.939,"(np.float64(0.934), np.float64(0.944))",0.089,"(np.float64(0.062), np.float64(0.116))",0.066,"(np.float64(0.046), np.float64(0.088))",0.973,"(np.float64(0.969), np.float64(0.977))",0.626,"(np.float64(0.59), np.float64(0.651))",0.047,"(np.float64(0.039), np.float64(0.06))"
LATERAL INFARCT,3,9394,0.374,0.667,"(np.float64(0.0), np.float64(1.0))",0.833,"(np.float64(0.825), np.float64(0.841))",0.003,"(np.float64(0.0), np.float64(0.006))",0.001,"(np.float64(0.0), np.float64(0.003))",1.0,"(np.float64(1.0), np.float64(1.0))",0.617,"(np.float64(0.141), np.float64(0.874))",0.001,"(np.float64(0.0), np.float64(0.002))"
SINUS BRADYCARDIA,935,8462,0.04,0.641,"(np.float64(0.612), np.float64(0.667))",0.479,"(np.float64(0.469), np.float64(0.489))",0.202,"(np.float64(0.189), np.float64(0.212))",0.12,"(np.float64(0.112), np.float64(0.128))",0.923,"(np.float64(0.916), np.float64(0.931))",0.562,"(np.float64(0.543), np.float64(0.578))",0.115,"(np.float64(0.107), np.float64(0.126))"
