Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
LEFT BUNDLE BRANCH BLOCK,18,9379,0.091,0.389,"(np.float64(0.171), np.float64(0.608))",0.687,"(np.float64(0.679), np.float64(0.695))",0.005,"(np.float64(0.002), np.float64(0.009))",0.002,"(np.float64(0.001), np.float64(0.004))",0.998,"(np.float64(0.997), np.float64(0.999))",0.515,"(np.float64(0.396), np.float64(0.638))",0.002,"(np.float64(0.001), np.float64(0.003))"
LEFT ATRIAL ENLARGEMENT,184,9213,0.061,0.815,"(np.float64(0.754), np.float64(0.861))",0.275,"(np.float64(0.268), np.float64(0.285))",0.043,"(np.float64(0.036), np.float64(0.048))",0.022,"(np.float64(0.019), np.float64(0.026))",0.987,"(np.float64(0.982), np.float64(0.991))",0.514,"(np.float64(0.476), np.float64(0.553))",0.023,"(np.float64(0.018), np.float64(0.043))"
WITH JUNCTIONAL ESCAPE COMPLEXES,184,9213,0.01,0.94,"(np.float64(0.901), np.float64(0.973))",0.103,"(np.float64(0.097), np.float64(0.11))",0.04,"(np.float64(0.034), np.float64(0.045))",0.021,"(np.float64(0.018), np.float64(0.024))",0.989,"(np.float64(0.982), np.float64(0.994))",0.501,"(np.float64(0.462), np.float64(0.542))",0.019,"(np.float64(0.017), np.float64(0.025))"
LATERAL INFARCT,3,9394,0.121,1.0,"(np.float64(0.0), np.float64(1.0))",0.389,"(np.float64(0.376), np.float64(0.397))",0.001,"(np.float64(0.0), np.float64(0.002))",0.001,"(np.float64(0.0), np.float64(0.001))",1.0,"(np.float64(1.0), np.float64(1.0))",0.497,"(np.float64(0.399), np.float64(0.627))",0.0,"(np.float64(0.0), np.float64(0.001))"
PROLONGED QT,427,8970,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.087,"(np.float64(0.079), np.float64(0.095))",0.045,"(np.float64(0.042), np.float64(0.049))",0.0,"(np.float64(0.0), np.float64(0.0))",0.479,"(np.float64(0.45), np.float64(0.503))",0.045,"(np.float64(0.041), np.float64(0.055))"
RIGHT ATRIAL ENLARGEMENT,201,9196,0.061,0.965,"(np.float64(0.935), np.float64(0.986))",0.056,"(np.float64(0.052), np.float64(0.061))",0.043,"(np.float64(0.038), np.float64(0.049))",0.022,"(np.float64(0.019), np.float64(0.025))",0.987,"(np.float64(0.975), np.float64(0.996))",0.449,"(np.float64(0.416), np.float64(0.484))",0.019,"(np.float64(0.017), np.float64(0.027))"
SINUS TACHYCARDIA,2210,7187,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.381,"(np.float64(0.371), np.float64(0.391))",0.235,"(np.float64(0.226), np.float64(0.242))",0.0,"(np.float64(0.0), np.float64(0.0))",0.413,"(np.float64(0.398), np.float64(0.426))",0.215,"(np.float64(0.205), np.float64(0.226))"
WITH 1ST DEGREE AV BLOCK,123,9274,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.026,"(np.float64(0.022), np.float64(0.031))",0.013,"(np.float64(0.011), np.float64(0.015))",0.0,"(np.float64(0.0), np.float64(0.0))",0.395,"(np.float64(0.352), np.float64(0.443))",0.01,"(np.float64(0.008), np.float64(0.012))"
WITH AV DISSOCIATION,70,9327,0.02,0.057,"(np.float64(0.014), np.float64(0.114))",0.968,"(np.float64(0.965), np.float64(0.972))",0.021,"(np.float64(0.005), np.float64(0.044))",0.013,"(np.float64(0.0), np.float64(0.033))",0.993,"(np.float64(0.99), np.float64(0.994))",0.387,"(np.float64(0.31), np.float64(0.451))",0.006,"(np.float64(0.005), np.float64(0.008))"
WITH 2:1 AV CONDUCTION,40,9357,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.008,"(np.float64(0.006), np.float64(0.011))",0.004,"(np.float64(0.003), np.float64(0.005))",0.0,"(np.float64(0.0), np.float64(0.0))",0.348,"(np.float64(0.273), np.float64(0.424))",0.003,"(np.float64(0.002), np.float64(0.004))"
WITH VARIABLE AV BLOCK,67,9330,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.014,"(np.float64(0.011), np.float64(0.018))",0.007,"(np.float64(0.006), np.float64(0.01))",0.0,"(np.float64(0.0), np.float64(0.0))",0.335,"(np.float64(0.284), np.float64(0.388))",0.005,"(np.float64(0.004), np.float64(0.006))"
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.239,"(np.float64(0.233), np.float64(0.246))",0.0,"(np.float64(0.0), np.float64(0.001))"
