Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
NONSPECIFIC T WAVE ABNORMALITY,2544,6853,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.426,"(np.float64(0.416), np.float64(0.436))",0.271,"(np.float64(0.262), np.float64(0.279))",0.0,"(np.float64(0.0), np.float64(0.0))",0.482,"(np.float64(0.467), np.float64(0.493))",0.261,"(np.float64(0.248), np.float64(0.272))"
WITH COMPLETE HEART BLOCK,67,9330,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.014,"(np.float64(0.011), np.float64(0.018))",0.007,"(np.float64(0.006), np.float64(0.009))",0.0,"(np.float64(0.0), np.float64(0.0))",0.464,"(np.float64(0.417), np.float64(0.529))",0.006,"(np.float64(0.005), np.float64(0.009))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.646,0.044,"(np.float64(0.0), np.float64(0.117))",0.985,"(np.float64(0.983), np.float64(0.987))",0.022,"(np.float64(0.0), np.float64(0.052))",0.014,"(np.float64(0.0), np.float64(0.037))",0.995,"(np.float64(0.994), np.float64(0.997))",0.45,"(np.float64(0.38), np.float64(0.523))",0.005,"(np.float64(0.003), np.float64(0.009))"
INFERIOR INFARCT,8,9389,0.091,0.125,"(np.float64(0.0), np.float64(0.333))",0.929,"(np.float64(0.924), np.float64(0.934))",0.003,"(np.float64(0.0), np.float64(0.009))",0.002,"(np.float64(0.0), np.float64(0.006))",0.999,"(np.float64(0.999), np.float64(1.0))",0.447,"(np.float64(0.245), np.float64(0.68))",0.001,"(np.float64(0.0), np.float64(0.003))"
ATRIAL FIBRILLATION,25,9372,0.283,0.08,"(np.float64(0.0), np.float64(0.169))",0.977,"(np.float64(0.974), np.float64(0.98))",0.016,"(np.float64(0.0), np.float64(0.039))",0.009,"(np.float64(0.0), np.float64(0.026))",0.997,"(np.float64(0.997), np.float64(0.999))",0.437,"(np.float64(0.307), np.float64(0.564))",0.003,"(np.float64(0.002), np.float64(0.007))"
ATRIAL FLUTTER,31,9366,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.007,"(np.float64(0.004), np.float64(0.009))",0.003,"(np.float64(0.002), np.float64(0.005))",0.0,"(np.float64(0.0), np.float64(0.0))",0.406,"(np.float64(0.325), np.float64(0.512))",0.003,"(np.float64(0.002), np.float64(0.004))"
ANTERIOR INFARCT,5,9392,0.141,0.2,"(np.float64(0.0), np.float64(0.667))",0.875,"(np.float64(0.868), np.float64(0.881))",0.002,"(np.float64(0.0), np.float64(0.005))",0.001,"(np.float64(0.0), np.float64(0.003))",1.0,"(np.float64(0.999), np.float64(1.0))",0.396,"(np.float64(0.147), np.float64(0.747))",0.001,"(np.float64(0.0), np.float64(0.002))"
ANTEROSEPTAL INFARCT,14,9383,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.003,"(np.float64(0.001), np.float64(0.004))",0.001,"(np.float64(0.001), np.float64(0.002))",0.0,"(np.float64(0.0), np.float64(0.0))",0.367,"(np.float64(0.283), np.float64(0.498))",0.001,"(np.float64(0.001), np.float64(0.002))"
VENTRICULAR TACHYCARDIA,81,9316,0.586,0.037,"(np.float64(0.0), np.float64(0.081))",0.977,"(np.float64(0.974), np.float64(0.98))",0.02,"(np.float64(0.003), np.float64(0.054))",0.014,"(np.float64(0.004), np.float64(0.032))",0.992,"(np.float64(0.989), np.float64(0.993))",0.367,"(np.float64(0.319), np.float64(0.419))",0.007,"(np.float64(0.005), np.float64(0.013))"
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.004,"(np.float64(0.002), np.float64(0.005))",0.002,"(np.float64(0.001), np.float64(0.003))",0.0,"(np.float64(0.0), np.float64(0.0))",0.1,"(np.float64(0.067), np.float64(0.152))",0.001,"(np.float64(0.001), np.float64(0.002))"
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.062,"(np.float64(0.058), np.float64(0.067))",0.0,"(np.float64(0.0), np.float64(0.0))"
