Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
NORMAL ECG,1759,7638,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.315,"(np.float64(0.304), np.float64(0.326))",0.187,"(np.float64(0.181), np.float64(0.194))",0.0,"(np.float64(0.0), np.float64(0.0))",0.495,"(np.float64(0.481), np.float64(0.508))",0.182,"(np.float64(0.173), np.float64(0.192))"
WITH 1ST DEGREE AV BLOCK,123,9274,0.192,0.252,"(np.float64(0.188), np.float64(0.322))",0.811,"(np.float64(0.803), np.float64(0.817))",0.032,"(np.float64(0.023), np.float64(0.042))",0.017,"(np.float64(0.012), np.float64(0.022))",0.988,"(np.float64(0.986), np.float64(0.99))",0.493,"(np.float64(0.445), np.float64(0.533))",0.013,"(np.float64(0.011), np.float64(0.016))"
PREMATURE VENTRICULAR COMPLEXES,6,9391,0.101,0.333,"(np.float64(0.0), np.float64(0.905))",0.89,"(np.float64(0.883), np.float64(0.896))",0.004,"(np.float64(0.0), np.float64(0.01))",0.002,"(np.float64(0.0), np.float64(0.004))",1.0,"(np.float64(0.999), np.float64(1.0))",0.478,"(np.float64(0.205), np.float64(0.869))",0.001,"(np.float64(0.0), np.float64(0.004))"
WITH COMPLETE HEART BLOCK,67,9330,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.014,"(np.float64(0.011), np.float64(0.018))",0.007,"(np.float64(0.006), np.float64(0.009))",0.0,"(np.float64(0.0), np.float64(0.0))",0.447,"(np.float64(0.392), np.float64(0.508))",0.006,"(np.float64(0.005), np.float64(0.008))"
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.004,"(np.float64(0.002), np.float64(0.006))",0.002,"(np.float64(0.001), np.float64(0.003))",0.0,"(np.float64(0.0), np.float64(0.0))",0.442,"(np.float64(0.325), np.float64(0.574))",0.002,"(np.float64(0.001), np.float64(0.003))"
ANTERIOR INFARCT,5,9392,0.051,0.2,"(np.float64(0.0), np.float64(0.667))",0.945,"(np.float64(0.941), np.float64(0.949))",0.004,"(np.float64(0.0), np.float64(0.015))",0.002,"(np.float64(0.0), np.float64(0.006))",1.0,"(np.float64(0.999), np.float64(1.0))",0.435,"(np.float64(0.158), np.float64(0.893))",0.001,"(np.float64(0.0), np.float64(0.005))"
WITH VARIABLE AV BLOCK,67,9330,0.444,0.015,"(np.float64(0.0), np.float64(0.04))",0.996,"(np.float64(0.995), np.float64(0.997))",0.019,"(np.float64(0.0), np.float64(0.054))",0.027,"(np.float64(0.0), np.float64(0.088))",0.993,"(np.float64(0.991), np.float64(0.994))",0.428,"(np.float64(0.367), np.float64(0.513))",0.006,"(np.float64(0.005), np.float64(0.012))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.04,0.993,"(np.float64(0.984), np.float64(1.0))",0.012,"(np.float64(0.01), np.float64(0.014))",0.06,"(np.float64(0.054), np.float64(0.066))",0.031,"(np.float64(0.028), np.float64(0.034))",0.982,"(np.float64(0.952), np.float64(1.0))",0.37,"(np.float64(0.345), np.float64(0.404))",0.023,"(np.float64(0.021), np.float64(0.027))"
INFERIOR INFARCT,8,9389,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.002,"(np.float64(0.001), np.float64(0.003))",0.001,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.341,"(np.float64(0.121), np.float64(0.596))",0.001,"(np.float64(0.0), np.float64(0.002))"
LATERAL INFARCT,3,9394,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.001,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.319,"(np.float64(0.092), np.float64(0.574))",0.0,"(np.float64(0.0), np.float64(0.001))"
PULMONARY DISEASE PATTERN,3,9394,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.001,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.24,"(np.float64(0.032), np.float64(0.482))",0.0,"(np.float64(0.0), np.float64(0.001))"
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.152,"(np.float64(0.144), np.float64(0.157))",0.0,"(np.float64(0.0), np.float64(0.0))"
