Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
WITH JUNCTIONAL ESCAPE COMPLEXES,184,9213,0.04,0.158,"(np.float64(0.109), np.float64(0.215))",0.967,"(np.float64(0.963), np.float64(0.97))",0.112,"(np.float64(0.077), np.float64(0.148))",0.086,"(np.float64(0.056), np.float64(0.109))",0.983,"(np.float64(0.981), np.float64(0.985))",0.73,"(np.float64(0.698), np.float64(0.759))",0.051,"(np.float64(0.039), np.float64(0.069))"
NONSPECIFIC T WAVE ABNORMALITY,2544,6853,0.293,0.551,"(np.float64(0.535), np.float64(0.568))",0.775,"(np.float64(0.767), np.float64(0.785))",0.511,"(np.float64(0.496), np.float64(0.529))",0.476,"(np.float64(0.46), np.float64(0.493))",0.823,"(np.float64(0.814), np.float64(0.831))",0.717,"(np.float64(0.703), np.float64(0.727))",0.516,"(np.float64(0.499), np.float64(0.538))"
otherwise normal ecg,621,8776,0.091,0.499,"(np.float64(0.467), np.float64(0.539))",0.751,"(np.float64(0.743), np.float64(0.758))",0.199,"(np.float64(0.179), np.float64(0.217))",0.124,"(np.float64(0.111), np.float64(0.139))",0.955,"(np.float64(0.951), np.float64(0.96))",0.703,"(np.float64(0.683), np.float64(0.723))",0.127,"(np.float64(0.112), np.float64(0.145))"
PREMATURE VENTRICULAR COMPLEXES,6,9391,0.01,0.167,"(np.float64(0.0), np.float64(0.5))",0.973,"(np.float64(0.97), np.float64(0.976))",0.008,"(np.float64(0.0), np.float64(0.025))",0.004,"(np.float64(0.0), np.float64(0.013))",0.999,"(np.float64(0.999), np.float64(1.0))",0.7,"(np.float64(0.432), np.float64(0.924))",0.003,"(np.float64(0.0), np.float64(0.01))"
PULMONARY DISEASE PATTERN,3,9394,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.001,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.683,"(np.float64(0.292), np.float64(0.924))",0.001,"(np.float64(0.0), np.float64(0.004))"
WITH 2:1 AV CONDUCTION,40,9357,0.03,0.05,"(np.float64(0.0), np.float64(0.151))",0.998,"(np.float64(0.997), np.float64(0.998))",0.062,"(np.float64(0.0), np.float64(0.148))",0.08,"(np.float64(0.0), np.float64(0.183))",0.996,"(np.float64(0.995), np.float64(0.997))",0.646,"(np.float64(0.552), np.float64(0.737))",0.04,"(np.float64(0.006), np.float64(0.113))"
WITH VARIABLE AV BLOCK,67,9330,0.071,0.075,"(np.float64(0.016), np.float64(0.128))",0.999,"(np.float64(0.998), np.float64(0.999))",0.119,"(np.float64(0.028), np.float64(0.218))",0.294,"(np.float64(0.113), np.float64(0.5))",0.993,"(np.float64(0.991), np.float64(0.995))",0.643,"(np.float64(0.568), np.float64(0.701))",0.041,"(np.float64(0.018), np.float64(0.096))"
PROLONGED QT,427,8970,0.101,0.187,"(np.float64(0.152), np.float64(0.224))",0.943,"(np.float64(0.939), np.float64(0.948))",0.157,"(np.float64(0.133), np.float64(0.191))",0.135,"(np.float64(0.109), np.float64(0.165))",0.961,"(np.float64(0.957), np.float64(0.964))",0.64,"(np.float64(0.611), np.float64(0.673))",0.106,"(np.float64(0.089), np.float64(0.136))"
FUSION COMPLEXES,27,9370,0.04,0.037,"(np.float64(0.0), np.float64(0.102))",0.996,"(np.float64(0.995), np.float64(0.997))",0.03,"(np.float64(0.0), np.float64(0.081))",0.026,"(np.float64(0.0), np.float64(0.085))",0.997,"(np.float64(0.996), np.float64(0.998))",0.64,"(np.float64(0.533), np.float64(0.72))",0.007,"(np.float64(0.004), np.float64(0.017))"
ATRIAL FIBRILLATION,25,9372,0.02,0.04,"(np.float64(0.0), np.float64(0.146))",0.992,"(np.float64(0.991), np.float64(0.994))",0.02,"(np.float64(0.0), np.float64(0.061))",0.014,"(np.float64(0.0), np.float64(0.049))",0.997,"(np.float64(0.996), np.float64(0.998))",0.63,"(np.float64(0.522), np.float64(0.755))",0.006,"(np.float64(0.003), np.float64(0.022))"
WITH 1ST DEGREE AV BLOCK,123,9274,0.02,0.187,"(np.float64(0.13), np.float64(0.247))",0.91,"(np.float64(0.905), np.float64(0.916))",0.047,"(np.float64(0.029), np.float64(0.067))",0.027,"(np.float64(0.018), np.float64(0.037))",0.988,"(np.float64(0.987), np.float64(0.991))",0.612,"(np.float64(0.564), np.float64(0.662))",0.031,"(np.float64(0.016), np.float64(0.05))"
INFERIOR INFARCT,8,9389,0.02,0.125,"(np.float64(0.0), np.float64(0.5))",0.999,"(np.float64(0.998), np.float64(0.999))",0.087,"(np.float64(0.0), np.float64(0.262))",0.067,"(np.float64(0.0), np.float64(0.231))",0.999,"(np.float64(0.999), np.float64(1.0))",0.549,"(np.float64(0.294), np.float64(0.849))",0.01,"(np.float64(0.001), np.float64(0.067))"
LATERAL INFARCT,3,9394,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.001,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.53,"(np.float64(0.309), np.float64(0.663))",0.0,"(np.float64(0.0), np.float64(0.001))"
