experiment,model,n_train_requested,n_train_actual,n_val,n_test,total_params,trainable_params,best_val_AUROC,test_macro_AUROC
ft_full,ECGFounder_FT,full,6690,766,1941,30819014,30819014,0.9049,0.8618
ft_3000,ECGFounder_FT,3000,3000,766,1941,30819014,30819014,0.8905,0.8309
ft_1000,ECGFounder_FT,1000,1000,766,1941,30819014,30819014,0.8436,0.795
ft_500,ECGFounder_FT,500,500,766,1941,30819014,30819014,0.7946,0.7641
