experiment,model,n_train_requested,n_train_actual,n_val,n_test,best_val_AUROC,test_macro_AUROC,total_params,trainable_params
ft_zeroshot,ECGFounder_ZeroShot,0,0,879,2132,,0.6172,,
ft_full,ECGFounder_FT,full,7674,879,2132,0.8538,0.8827,30819014.0,30819014.0
ft_3000,ECGFounder_FT,3000,3000,879,2132,0.8409,0.8659,30819014.0,30819014.0
ft_1000,ECGFounder_FT,1000,1000,879,2132,0.7774,0.8178,30819014.0,30819014.0
ft_500,ECGFounder_FT,500,500,879,2132,0.7486,0.7867,30819014.0,30819014.0
ft_100,ECGFounder_FT,100,100,879,2132,0.6973,0.748,30819014.0,30819014.0
