Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.897,"(np.float64(0.89), np.float64(0.903))",0.001,"(np.float64(0.001), np.float64(0.003))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.384,0.056,"(np.float64(0.0), np.float64(0.17))",0.998,"(np.float64(0.998), np.float64(0.999))",0.059,"(np.float64(0.0), np.float64(0.171))",0.062,"(np.float64(0.0), np.float64(0.214))",0.998,"(np.float64(0.997), np.float64(0.999))",0.803,"(np.float64(0.725), np.float64(0.888))",0.011,"(np.float64(0.003), np.float64(0.045))"
ATRIAL FLUTTER,31,9366,0.667,0.032,"(np.float64(0.0), np.float64(0.086))",0.998,"(np.float64(0.997), np.float64(0.998))",0.036,"(np.float64(0.0), np.float64(0.107))",0.042,"(np.float64(0.0), np.float64(0.151))",0.997,"(np.float64(0.996), np.float64(0.998))",0.754,"(np.float64(0.66), np.float64(0.843))",0.011,"(np.float64(0.007), np.float64(0.03))"
PREMATURE ATRIAL COMPLEXES,1,9396,0.101,1.0,"(np.float64(0.0), np.float64(1.0))",0.682,"(np.float64(0.674), np.float64(0.69))",0.001,"(np.float64(0.0), np.float64(0.002))",0.0,"(np.float64(0.0), np.float64(0.001))",1.0,"(np.float64(1.0), np.float64(1.0))",0.747,"(np.float64(0.738), np.float64(0.753))",0.0,"(np.float64(0.0), np.float64(0.001))"
FUSION COMPLEXES,27,9370,0.566,0.074,"(np.float64(0.0), np.float64(0.206))",0.992,"(np.float64(0.991), np.float64(0.994))",0.04,"(np.float64(0.0), np.float64(0.095))",0.027,"(np.float64(0.0), np.float64(0.07))",0.997,"(np.float64(0.997), np.float64(0.998))",0.693,"(np.float64(0.592), np.float64(0.788))",0.01,"(np.float64(0.005), np.float64(0.031))"
INFERIOR INFARCT,8,9389,0.293,0.125,"(np.float64(0.0), np.float64(0.333))",0.997,"(np.float64(0.996), np.float64(0.998))",0.053,"(np.float64(0.0), np.float64(0.161))",0.033,"(np.float64(0.0), np.float64(0.098))",0.999,"(np.float64(0.999), np.float64(1.0))",0.686,"(np.float64(0.544), np.float64(0.85))",0.006,"(np.float64(0.001), np.float64(0.034))"
ATRIAL FIBRILLATION,25,9372,0.596,0.04,"(np.float64(0.0), np.float64(0.122))",0.99,"(np.float64(0.988), np.float64(0.992))",0.017,"(np.float64(0.0), np.float64(0.056))",0.01,"(np.float64(0.0), np.float64(0.027))",0.997,"(np.float64(0.996), np.float64(0.998))",0.676,"(np.float64(0.58), np.float64(0.761))",0.005,"(np.float64(0.003), np.float64(0.012))"
ANTERIOR INFARCT,5,9392,0.384,0.2,"(np.float64(0.0), np.float64(0.587))",0.971,"(np.float64(0.968), np.float64(0.974))",0.007,"(np.float64(0.0), np.float64(0.023))",0.004,"(np.float64(0.0), np.float64(0.011))",1.0,"(np.float64(0.999), np.float64(1.0))",0.651,"(np.float64(0.402), np.float64(0.923))",0.002,"(np.float64(0.0), np.float64(0.008))"
VENTRICULAR TACHYCARDIA,81,9316,0.96,0.074,"(np.float64(0.015), np.float64(0.12))",0.999,"(np.float64(0.998), np.float64(0.999))",0.122,"(np.float64(0.048), np.float64(0.197))",0.353,"(np.float64(0.097), np.float64(0.562))",0.992,"(np.float64(0.99), np.float64(0.993))",0.643,"(np.float64(0.581), np.float64(0.705))",0.054,"(np.float64(0.021), np.float64(0.119))"
LOW VOLTAGE QRS,277,9120,0.646,0.141,"(np.float64(0.107), np.float64(0.191))",0.939,"(np.float64(0.934), np.float64(0.944))",0.089,"(np.float64(0.061), np.float64(0.118))",0.066,"(np.float64(0.045), np.float64(0.085))",0.973,"(np.float64(0.97), np.float64(0.976))",0.626,"(np.float64(0.599), np.float64(0.659))",0.047,"(np.float64(0.04), np.float64(0.062))"
LATERAL INFARCT,3,9394,0.374,0.667,"(np.float64(0.0), np.float64(1.0))",0.833,"(np.float64(0.826), np.float64(0.84))",0.003,"(np.float64(0.0), np.float64(0.008))",0.001,"(np.float64(0.0), np.float64(0.003))",1.0,"(np.float64(1.0), np.float64(1.0))",0.617,"(np.float64(0.145), np.float64(0.877))",0.001,"(np.float64(0.0), np.float64(0.003))"
SINUS BRADYCARDIA,935,8462,0.04,0.641,"(np.float64(0.607), np.float64(0.67))",0.479,"(np.float64(0.468), np.float64(0.49))",0.202,"(np.float64(0.188), np.float64(0.214))",0.12,"(np.float64(0.111), np.float64(0.129))",0.923,"(np.float64(0.914), np.float64(0.931))",0.562,"(np.float64(0.546), np.float64(0.579))",0.115,"(np.float64(0.106), np.float64(0.125))"
WITH JUNCTIONAL ESCAPE COMPLEXES,184,9213,0.03,0.223,"(np.float64(0.162), np.float64(0.278))",0.837,"(np.float64(0.831), np.float64(0.844))",0.048,"(np.float64(0.035), np.float64(0.058))",0.027,"(np.float64(0.018), np.float64(0.034))",0.982,"(np.float64(0.979), np.float64(0.985))",0.56,"(np.float64(0.52), np.float64(0.594))",0.024,"(np.float64(0.02), np.float64(0.031))"
WITH COMPLETE HEART BLOCK,67,9330,0.01,0.582,"(np.float64(0.447), np.float64(0.689))",0.504,"(np.float64(0.496), np.float64(0.513))",0.016,"(np.float64(0.012), np.float64(0.021))",0.008,"(np.float64(0.006), np.float64(0.011))",0.994,"(np.float64(0.992), np.float64(0.996))",0.558,"(np.float64(0.515), np.float64(0.617))",0.008,"(np.float64(0.006), np.float64(0.011))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.97,0.044,"(np.float64(0.0), np.float64(0.119))",0.994,"(np.float64(0.992), np.float64(0.995))",0.038,"(np.float64(0.0), np.float64(0.095))",0.033,"(np.float64(0.0), np.float64(0.07))",0.995,"(np.float64(0.994), np.float64(0.996))",0.545,"(np.float64(0.451), np.float64(0.626))",0.009,"(np.float64(0.004), np.float64(0.02))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.081,0.266,"(np.float64(0.225), np.float64(0.318))",0.786,"(np.float64(0.776), np.float64(0.794))",0.073,"(np.float64(0.059), np.float64(0.088))",0.042,"(np.float64(0.034), np.float64(0.05))",0.968,"(np.float64(0.964), np.float64(0.972))",0.529,"(np.float64(0.496), np.float64(0.56))",0.041,"(np.float64(0.034), np.float64(0.052))"
SINUS TACHYCARDIA,2210,7187,0.051,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.381,"(np.float64(0.369), np.float64(0.392))",0.235,"(np.float64(0.227), np.float64(0.246))",1.0,"(np.float64(0.0), np.float64(1.0))",0.526,"(np.float64(0.509), np.float64(0.538))",0.285,"(np.float64(0.27), np.float64(0.3))"
EARLY REPOLARIZATION,249,9148,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.052,"(np.float64(0.046), np.float64(0.057))",0.026,"(np.float64(0.023), np.float64(0.03))",0.0,"(np.float64(0.0), np.float64(0.0))",0.521,"(np.float64(0.483), np.float64(0.548))",0.029,"(np.float64(0.024), np.float64(0.037))"
PREMATURE VENTRICULAR COMPLEXES,6,9391,0.364,0.333,"(np.float64(0.0), np.float64(0.71))",0.819,"(np.float64(0.812), np.float64(0.827))",0.002,"(np.float64(0.0), np.float64(0.005))",0.001,"(np.float64(0.0), np.float64(0.003))",0.999,"(np.float64(0.999), np.float64(1.0))",0.52,"(np.float64(0.257), np.float64(0.726))",0.001,"(np.float64(0.0), np.float64(0.003))"
