Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
PREMATURE ATRIAL COMPLEXES,1,9396,0.758,1.0,"(np.float64(0.0), np.float64(1.0))",0.999,"(np.float64(0.999), np.float64(1.0))",0.286,"(np.float64(0.0), np.float64(0.642))",0.167,"(np.float64(0.0), np.float64(0.5))",1.0,"(np.float64(1.0), np.float64(1.0))",0.999,"(np.float64(0.999), np.float64(1.0))",0.167,"(np.float64(0.083), np.float64(0.6))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.273,0.541,"(np.float64(0.498), np.float64(0.578))",0.885,"(np.float64(0.879), np.float64(0.89))",0.362,"(np.float64(0.333), np.float64(0.394))",0.272,"(np.float64(0.249), np.float64(0.294))",0.96,"(np.float64(0.956), np.float64(0.964))",0.838,"(np.float64(0.826), np.float64(0.85))",0.259,"(np.float64(0.235), np.float64(0.287))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.606,0.486,"(np.float64(0.428), np.float64(0.546))",0.865,"(np.float64(0.857), np.float64(0.87))",0.17,"(np.float64(0.145), np.float64(0.192))",0.103,"(np.float64(0.087), np.float64(0.118))",0.981,"(np.float64(0.979), np.float64(0.984))",0.766,"(np.float64(0.743), np.float64(0.788))",0.086,"(np.float64(0.072), np.float64(0.103))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.232,0.111,"(np.float64(0.0), np.float64(0.25))",0.991,"(np.float64(0.989), np.float64(0.993))",0.038,"(np.float64(0.0), np.float64(0.091))",0.023,"(np.float64(0.0), np.float64(0.057))",0.998,"(np.float64(0.998), np.float64(0.999))",0.745,"(np.float64(0.573), np.float64(0.869))",0.009,"(np.float64(0.004), np.float64(0.024))"
LOW VOLTAGE QRS,277,9120,0.222,0.217,"(np.float64(0.173), np.float64(0.272))",0.946,"(np.float64(0.941), np.float64(0.95))",0.145,"(np.float64(0.117), np.float64(0.178))",0.108,"(np.float64(0.083), np.float64(0.135))",0.975,"(np.float64(0.972), np.float64(0.979))",0.724,"(np.float64(0.697), np.float64(0.756))",0.082,"(np.float64(0.067), np.float64(0.104))"
RIGHT AXIS DEVIATION,335,9062,0.556,0.284,"(np.float64(0.234), np.float64(0.341))",0.902,"(np.float64(0.896), np.float64(0.906))",0.144,"(np.float64(0.124), np.float64(0.168))",0.096,"(np.float64(0.078), np.float64(0.116))",0.971,"(np.float64(0.968), np.float64(0.975))",0.713,"(np.float64(0.689), np.float64(0.741))",0.078,"(np.float64(0.067), np.float64(0.094))"
FUSION COMPLEXES,27,9370,0.646,0.074,"(np.float64(0.0), np.float64(0.162))",0.989,"(np.float64(0.987), np.float64(0.991))",0.03,"(np.float64(0.0), np.float64(0.079))",0.019,"(np.float64(0.0), np.float64(0.044))",0.997,"(np.float64(0.996), np.float64(0.998))",0.68,"(np.float64(0.591), np.float64(0.771))",0.007,"(np.float64(0.004), np.float64(0.018))"
ACUTE PERICARDITIS,1,9396,0.02,1.0,"(np.float64(0.0), np.float64(1.0))",0.587,"(np.float64(0.575), np.float64(0.598))",0.001,"(np.float64(0.0), np.float64(0.002))",0.0,"(np.float64(0.0), np.float64(0.001))",1.0,"(np.float64(1.0), np.float64(1.0))",0.679,"(np.float64(0.672), np.float64(0.687))",0.0,"(np.float64(0.0), np.float64(0.001))"
WITH VARIABLE AV BLOCK,67,9330,0.01,0.119,"(np.float64(0.045), np.float64(0.191))",0.968,"(np.float64(0.964), np.float64(0.972))",0.043,"(np.float64(0.017), np.float64(0.074))",0.026,"(np.float64(0.011), np.float64(0.046))",0.994,"(np.float64(0.992), np.float64(0.995))",0.679,"(np.float64(0.627), np.float64(0.736))",0.015,"(np.float64(0.011), np.float64(0.025))"
LEFT VENTRICULAR HYPERTROPHY,348,9049,0.364,0.132,"(np.float64(0.093), np.float64(0.17))",0.972,"(np.float64(0.97), np.float64(0.975))",0.143,"(np.float64(0.107), np.float64(0.179))",0.155,"(np.float64(0.117), np.float64(0.201))",0.967,"(np.float64(0.964), np.float64(0.97))",0.667,"(np.float64(0.64), np.float64(0.69))",0.085,"(np.float64(0.065), np.float64(0.112))"
