Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
LEFT VENTRICULAR HYPERTROPHY,348,9049,0.273,0.42,"(np.float64(0.374), np.float64(0.47))",0.989,"(np.float64(0.987), np.float64(0.991))",0.492,"(np.float64(0.438), np.float64(0.542))",0.596,"(np.float64(0.537), np.float64(0.652))",0.978,"(np.float64(0.975), np.float64(0.981))",0.926,"(np.float64(0.914), np.float64(0.938))",0.49,"(np.float64(0.431), np.float64(0.547))"
WITH AV DISSOCIATION,70,9327,0.061,0.457,"(np.float64(0.323), np.float64(0.579))",0.989,"(np.float64(0.987), np.float64(0.99))",0.306,"(np.float64(0.217), np.float64(0.37))",0.23,"(np.float64(0.171), np.float64(0.302))",0.996,"(np.float64(0.995), np.float64(0.997))",0.926,"(np.float64(0.894), np.float64(0.951))",0.269,"(np.float64(0.181), np.float64(0.358))"
ANTEROSEPTAL INFARCT,14,9383,0.03,0.143,"(np.float64(0.0), np.float64(0.37))",0.997,"(np.float64(0.996), np.float64(0.998))",0.095,"(np.float64(0.0), np.float64(0.239))",0.071,"(np.float64(0.0), np.float64(0.158))",0.999,"(np.float64(0.998), np.float64(0.999))",0.923,"(np.float64(0.888), np.float64(0.956))",0.025,"(np.float64(0.006), np.float64(0.107))"
WITH 2:1 AV CONDUCTION,40,9357,0.152,0.3,"(np.float64(0.185), np.float64(0.421))",0.997,"(np.float64(0.996), np.float64(0.998))",0.296,"(np.float64(0.179), np.float64(0.413))",0.293,"(np.float64(0.173), np.float64(0.445))",0.997,"(np.float64(0.996), np.float64(0.998))",0.919,"(np.float64(0.879), np.float64(0.952))",0.166,"(np.float64(0.084), np.float64(0.284))"
WITH VARIABLE AV BLOCK,67,9330,0.192,0.194,"(np.float64(0.106), np.float64(0.288))",0.998,"(np.float64(0.997), np.float64(0.999))",0.255,"(np.float64(0.13), np.float64(0.35))",0.371,"(np.float64(0.18), np.float64(0.522))",0.994,"(np.float64(0.993), np.float64(0.996))",0.917,"(np.float64(0.882), np.float64(0.944))",0.147,"(np.float64(0.094), np.float64(0.24))"
LEFT ATRIAL ENLARGEMENT,184,9213,0.141,0.413,"(np.float64(0.357), np.float64(0.465))",0.981,"(np.float64(0.978), np.float64(0.984))",0.351,"(np.float64(0.3), np.float64(0.417))",0.305,"(np.float64(0.246), np.float64(0.363))",0.988,"(np.float64(0.986), np.float64(0.99))",0.912,"(np.float64(0.888), np.float64(0.93))",0.297,"(np.float64(0.23), np.float64(0.365))"
WITH 1ST DEGREE AV BLOCK,123,9274,0.162,0.341,"(np.float64(0.253), np.float64(0.418))",0.991,"(np.float64(0.99), np.float64(0.993))",0.343,"(np.float64(0.28), np.float64(0.417))",0.344,"(np.float64(0.277), np.float64(0.41))",0.991,"(np.float64(0.99), np.float64(0.993))",0.908,"(np.float64(0.883), np.float64(0.932))",0.295,"(np.float64(0.219), np.float64(0.36))"
EARLY REPOLARIZATION,249,9148,0.152,0.434,"(np.float64(0.374), np.float64(0.498))",0.969,"(np.float64(0.966), np.float64(0.972))",0.336,"(np.float64(0.293), np.float64(0.381))",0.274,"(np.float64(0.231), np.float64(0.311))",0.984,"(np.float64(0.982), np.float64(0.987))",0.904,"(np.float64(0.887), np.float64(0.921))",0.277,"(np.float64(0.224), np.float64(0.34))"
WITH JUNCTIONAL ESCAPE COMPLEXES,184,9213,0.141,0.44,"(np.float64(0.369), np.float64(0.504))",0.988,"(np.float64(0.986), np.float64(0.99))",0.433,"(np.float64(0.366), np.float64(0.487))",0.426,"(np.float64(0.359), np.float64(0.49))",0.989,"(np.float64(0.987), np.float64(0.991))",0.902,"(np.float64(0.882), np.float64(0.919))",0.377,"(np.float64(0.299), np.float64(0.448))"
NORMAL ECG,1759,7638,0.293,0.738,"(np.float64(0.72), np.float64(0.758))",0.866,"(np.float64(0.857), np.float64(0.872))",0.637,"(np.float64(0.623), np.float64(0.653))",0.559,"(np.float64(0.534), np.float64(0.576))",0.935,"(np.float64(0.929), np.float64(0.942))",0.9,"(np.float64(0.893), np.float64(0.907))",0.638,"(np.float64(0.614), np.float64(0.663))"
