Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
SINUS BRADYCARDIA,935,8462,0.475,0.841,"(np.float64(0.82), np.float64(0.86))",0.984,"(np.float64(0.981), np.float64(0.987))",0.847,"(np.float64(0.834), np.float64(0.863))",0.854,"(np.float64(0.831), np.float64(0.877))",0.982,"(np.float64(0.979), np.float64(0.985))",0.985,"(np.float64(0.982), np.float64(0.988))",0.902,"(np.float64(0.883), np.float64(0.921))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.485,0.679,"(np.float64(0.627), np.float64(0.729))",0.992,"(np.float64(0.99), np.float64(0.994))",0.705,"(np.float64(0.667), np.float64(0.744))",0.732,"(np.float64(0.689), np.float64(0.789))",0.99,"(np.float64(0.988), np.float64(0.991))",0.983,"(np.float64(0.979), np.float64(0.988))",0.706,"(np.float64(0.657), np.float64(0.758))"
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.364,0.579,"(np.float64(0.324), np.float64(0.77))",1.0,"(np.float64(1.0), np.float64(1.0))",0.733,"(np.float64(0.524), np.float64(0.861))",1.0,"(np.float64(1.0), np.float64(1.0))",0.999,"(np.float64(0.999), np.float64(1.0))",0.979,"(np.float64(0.944), np.float64(0.998))",0.65,"(np.float64(0.424), np.float64(0.87))"
VENTRICULAR TACHYCARDIA,81,9316,0.232,0.654,"(np.float64(0.547), np.float64(0.764))",0.996,"(np.float64(0.995), np.float64(0.997))",0.62,"(np.float64(0.527), np.float64(0.694))",0.589,"(np.float64(0.491), np.float64(0.682))",0.997,"(np.float64(0.996), np.float64(0.998))",0.978,"(np.float64(0.964), np.float64(0.991))",0.612,"(np.float64(0.514), np.float64(0.73))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.141,0.244,"(np.float64(0.13), np.float64(0.393))",0.997,"(np.float64(0.995), np.float64(0.998))",0.25,"(np.float64(0.151), np.float64(0.367))",0.256,"(np.float64(0.137), np.float64(0.376))",0.996,"(np.float64(0.995), np.float64(0.998))",0.977,"(np.float64(0.97), np.float64(0.985))",0.231,"(np.float64(0.102), np.float64(0.36))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.152,0.724,"(np.float64(0.684), np.float64(0.777))",0.978,"(np.float64(0.975), np.float64(0.98))",0.618,"(np.float64(0.567), np.float64(0.649))",0.539,"(np.float64(0.48), np.float64(0.582))",0.99,"(np.float64(0.988), np.float64(0.992))",0.974,"(np.float64(0.97), np.float64(0.98))",0.631,"(np.float64(0.582), np.float64(0.678))"
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.968,"(np.float64(0.965), np.float64(0.972))",0.003,"(np.float64(0.003), np.float64(0.013))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.051,0.333,"(np.float64(0.114), np.float64(0.568))",0.998,"(np.float64(0.998), np.float64(0.999))",0.308,"(np.float64(0.127), np.float64(0.507))",0.286,"(np.float64(0.139), np.float64(0.492))",0.999,"(np.float64(0.998), np.float64(0.999))",0.962,"(np.float64(0.908), np.float64(0.995))",0.244,"(np.float64(0.088), np.float64(0.472))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.364,0.642,"(np.float64(0.608), np.float64(0.671))",0.974,"(np.float64(0.971), np.float64(0.977))",0.652,"(np.float64(0.627), np.float64(0.679))",0.663,"(np.float64(0.62), np.float64(0.7))",0.972,"(np.float64(0.968), np.float64(0.975))",0.958,"(np.float64(0.952), np.float64(0.965))",0.682,"(np.float64(0.651), np.float64(0.72))"
ATRIAL FLUTTER,31,9366,0.131,0.258,"(np.float64(0.108), np.float64(0.444))",0.999,"(np.float64(0.998), np.float64(0.999))",0.308,"(np.float64(0.12), np.float64(0.429))",0.381,"(np.float64(0.218), np.float64(0.622))",0.998,"(np.float64(0.997), np.float64(0.998))",0.951,"(np.float64(0.919), np.float64(0.977))",0.257,"(np.float64(0.119), np.float64(0.4))"
SINUS TACHYCARDIA,2210,7187,0.343,0.871,"(np.float64(0.859), np.float64(0.882))",0.882,"(np.float64(0.875), np.float64(0.889))",0.773,"(np.float64(0.757), np.float64(0.784))",0.694,"(np.float64(0.677), np.float64(0.715))",0.957,"(np.float64(0.952), np.float64(0.961))",0.949,"(np.float64(0.945), np.float64(0.954))",0.849,"(np.float64(0.834), np.float64(0.86))"
RIGHT AXIS DEVIATION,335,9062,0.202,0.531,"(np.float64(0.489), np.float64(0.581))",0.972,"(np.float64(0.969), np.float64(0.975))",0.463,"(np.float64(0.425), np.float64(0.503))",0.41,"(np.float64(0.364), np.float64(0.45))",0.982,"(np.float64(0.98), np.float64(0.985))",0.944,"(np.float64(0.935), np.float64(0.952))",0.437,"(np.float64(0.38), np.float64(0.495))"
