Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
SINUS BRADYCARDIA,935,8462,0.485,0.846,"(np.float64(0.829), np.float64(0.874))",0.983,"(np.float64(0.98), np.float64(0.985))",0.845,"(np.float64(0.824), np.float64(0.863))",0.843,"(np.float64(0.815), np.float64(0.867))",0.983,"(np.float64(0.98), np.float64(0.986))",0.986,"(np.float64(0.982), np.float64(0.989))",0.907,"(np.float64(0.89), np.float64(0.922))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.293,0.766,"(np.float64(0.721), np.float64(0.811))",0.989,"(np.float64(0.987), np.float64(0.992))",0.73,"(np.float64(0.698), np.float64(0.772))",0.698,"(np.float64(0.636), np.float64(0.748))",0.993,"(np.float64(0.991), np.float64(0.994))",0.986,"(np.float64(0.983), np.float64(0.99))",0.788,"(np.float64(0.742), np.float64(0.828))"
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.111,0.789,"(np.float64(0.609), np.float64(0.946))",1.0,"(np.float64(0.999), np.float64(1.0))",0.789,"(np.float64(0.613), np.float64(0.906))",0.789,"(np.float64(0.636), np.float64(0.954))",1.0,"(np.float64(0.999), np.float64(1.0))",0.984,"(np.float64(0.969), np.float64(1.0))",0.765,"(np.float64(0.553), np.float64(0.934))"
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.984,"(np.float64(0.982), np.float64(0.986))",0.007,"(np.float64(0.006), np.float64(0.024))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.333,0.693,"(np.float64(0.646), np.float64(0.736))",0.987,"(np.float64(0.984), np.float64(0.989))",0.672,"(np.float64(0.633), np.float64(0.722))",0.651,"(np.float64(0.594), np.float64(0.693))",0.989,"(np.float64(0.987), np.float64(0.991))",0.983,"(np.float64(0.98), np.float64(0.986))",0.713,"(np.float64(0.664), np.float64(0.763))"
VENTRICULAR TACHYCARDIA,81,9316,0.232,0.593,"(np.float64(0.503), np.float64(0.689))",0.998,"(np.float64(0.997), np.float64(0.999))",0.653,"(np.float64(0.578), np.float64(0.728))",0.727,"(np.float64(0.635), np.float64(0.864))",0.996,"(np.float64(0.995), np.float64(0.997))",0.98,"(np.float64(0.967), np.float64(0.992))",0.641,"(np.float64(0.546), np.float64(0.748))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.081,0.333,"(np.float64(0.206), np.float64(0.45))",0.997,"(np.float64(0.996), np.float64(0.998))",0.337,"(np.float64(0.212), np.float64(0.451))",0.341,"(np.float64(0.203), np.float64(0.444))",0.997,"(np.float64(0.996), np.float64(0.998))",0.971,"(np.float64(0.96), np.float64(0.981))",0.26,"(np.float64(0.148), np.float64(0.403))"
PREMATURE ATRIAL COMPLEXES,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.968,"(np.float64(0.965), np.float64(0.972))",0.003,"(np.float64(0.003), np.float64(0.013))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.283,0.752,"(np.float64(0.723), np.float64(0.783))",0.957,"(np.float64(0.953), np.float64(0.96))",0.655,"(np.float64(0.631), np.float64(0.68))",0.58,"(np.float64(0.543), np.float64(0.612))",0.98,"(np.float64(0.977), np.float64(0.982))",0.957,"(np.float64(0.951), np.float64(0.964))",0.682,"(np.float64(0.648), np.float64(0.709))"
ATRIAL FLUTTER,31,9366,0.04,0.484,"(np.float64(0.328), np.float64(0.692))",0.992,"(np.float64(0.99), np.float64(0.994))",0.24,"(np.float64(0.143), np.float64(0.335))",0.16,"(np.float64(0.088), np.float64(0.233))",0.998,"(np.float64(0.997), np.float64(0.999))",0.956,"(np.float64(0.919), np.float64(0.986))",0.22,"(np.float64(0.123), np.float64(0.336))"
