Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.323,0.776,"(np.float64(0.722), np.float64(0.824))",0.99,"(np.float64(0.988), np.float64(0.992))",0.743,"(np.float64(0.714), np.float64(0.787))",0.712,"(np.float64(0.672), np.float64(0.754))",0.993,"(np.float64(0.991), np.float64(0.994))",0.987,"(np.float64(0.984), np.float64(0.991))",0.787,"(np.float64(0.74), np.float64(0.828))"
SINUS BRADYCARDIA,935,8462,0.485,0.837,"(np.float64(0.812), np.float64(0.862))",0.985,"(np.float64(0.982), np.float64(0.987))",0.848,"(np.float64(0.832), np.float64(0.861))",0.859,"(np.float64(0.838), np.float64(0.885))",0.982,"(np.float64(0.979), np.float64(0.984))",0.985,"(np.float64(0.982), np.float64(0.988))",0.901,"(np.float64(0.883), np.float64(0.92))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.394,0.641,"(np.float64(0.609), np.float64(0.691))",0.989,"(np.float64(0.986), np.float64(0.991))",0.657,"(np.float64(0.627), np.float64(0.699))",0.674,"(np.float64(0.623), np.float64(0.713))",0.987,"(np.float64(0.985), np.float64(0.989))",0.979,"(np.float64(0.974), np.float64(0.984))",0.7,"(np.float64(0.655), np.float64(0.749))"
VENTRICULAR TACHYCARDIA,81,9316,0.232,0.543,"(np.float64(0.437), np.float64(0.653))",0.997,"(np.float64(0.996), np.float64(0.998))",0.587,"(np.float64(0.5), np.float64(0.678))",0.638,"(np.float64(0.529), np.float64(0.741))",0.996,"(np.float64(0.995), np.float64(0.997))",0.977,"(np.float64(0.964), np.float64(0.99))",0.608,"(np.float64(0.507), np.float64(0.721))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.141,0.267,"(np.float64(0.161), np.float64(0.388))",0.998,"(np.float64(0.997), np.float64(0.999))",0.316,"(np.float64(0.155), np.float64(0.438))",0.387,"(np.float64(0.25), np.float64(0.596))",0.996,"(np.float64(0.995), np.float64(0.998))",0.975,"(np.float64(0.964), np.float64(0.984))",0.279,"(np.float64(0.186), np.float64(0.395))"
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.222,0.526,"(np.float64(0.316), np.float64(0.81))",1.0,"(np.float64(1.0), np.float64(1.0))",0.69,"(np.float64(0.457), np.float64(0.857))",1.0,"(np.float64(1.0), np.float64(1.0))",0.999,"(np.float64(0.998), np.float64(0.999))",0.972,"(np.float64(0.939), np.float64(0.998))",0.67,"(np.float64(0.447), np.float64(0.853))"
ATRIAL FLUTTER,31,9366,0.071,0.258,"(np.float64(0.111), np.float64(0.426))",0.997,"(np.float64(0.996), np.float64(0.998))",0.232,"(np.float64(0.082), np.float64(0.393))",0.211,"(np.float64(0.107), np.float64(0.329))",0.998,"(np.float64(0.997), np.float64(0.999))",0.962,"(np.float64(0.94), np.float64(0.98))",0.103,"(np.float64(0.059), np.float64(0.186))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.263,0.742,"(np.float64(0.712), np.float64(0.774))",0.956,"(np.float64(0.951), np.float64(0.96))",0.645,"(np.float64(0.614), np.float64(0.672))",0.57,"(np.float64(0.54), np.float64(0.611))",0.979,"(np.float64(0.976), np.float64(0.982))",0.956,"(np.float64(0.95), np.float64(0.962))",0.669,"(np.float64(0.64), np.float64(0.698))"
LEFT AXIS DEVIATION,54,9343,0.121,0.222,"(np.float64(0.145), np.float64(0.34))",0.995,"(np.float64(0.994), np.float64(0.997))",0.22,"(np.float64(0.117), np.float64(0.333))",0.218,"(np.float64(0.104), np.float64(0.323))",0.996,"(np.float64(0.994), np.float64(0.997))",0.953,"(np.float64(0.939), np.float64(0.968))",0.154,"(np.float64(0.087), np.float64(0.276))"
SINUS TACHYCARDIA,2210,7187,0.374,0.852,"(np.float64(0.838), np.float64(0.866))",0.904,"(np.float64(0.899), np.float64(0.908))",0.787,"(np.float64(0.776), np.float64(0.799))",0.732,"(np.float64(0.714), np.float64(0.748))",0.952,"(np.float64(0.947), np.float64(0.956))",0.953,"(np.float64(0.949), np.float64(0.957))",0.859,"(np.float64(0.845), np.float64(0.875))"
