Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
FUSION COMPLEXES,27,9370,0.02,0.222,"(np.float64(0.093), np.float64(0.383))",0.994,"(np.float64(0.993), np.float64(0.996))",0.14,"(np.float64(0.04), np.float64(0.26))",0.102,"(np.float64(0.032), np.float64(0.193))",0.998,"(np.float64(0.997), np.float64(0.999))",0.879,"(np.float64(0.809), np.float64(0.942))",0.058,"(np.float64(0.022), np.float64(0.138))"
NORMAL ECG,1759,7638,0.263,0.684,"(np.float64(0.661), np.float64(0.704))",0.845,"(np.float64(0.837), np.float64(0.852))",0.58,"(np.float64(0.566), np.float64(0.6))",0.504,"(np.float64(0.485), np.float64(0.523))",0.921,"(np.float64(0.915), np.float64(0.927))",0.861,"(np.float64(0.855), np.float64(0.868))",0.544,"(np.float64(0.521), np.float64(0.573))"
PREMATURE ATRIAL COMPLEXES,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.842,"(np.float64(0.835), np.float64(0.849))",0.001,"(np.float64(0.001), np.float64(0.002))"
INFERIOR INFARCT,8,9389,0.071,0.25,"(np.float64(0.0), np.float64(0.587))",1.0,"(np.float64(0.999), np.float64(1.0))",0.333,"(np.float64(0.0), np.float64(0.684))",0.5,"(np.float64(0.0), np.float64(1.0))",0.999,"(np.float64(0.999), np.float64(1.0))",0.83,"(np.float64(0.587), np.float64(0.992))",0.251,"(np.float64(0.012), np.float64(0.546))"
PROLONGED QT,427,8970,0.101,0.41,"(np.float64(0.368), np.float64(0.456))",0.946,"(np.float64(0.941), np.float64(0.95))",0.321,"(np.float64(0.296), np.float64(0.35))",0.264,"(np.float64(0.228), np.float64(0.292))",0.971,"(np.float64(0.968), np.float64(0.975))",0.815,"(np.float64(0.795), np.float64(0.829))",0.246,"(np.float64(0.214), np.float64(0.284))"
ATRIAL FIBRILLATION,25,9372,0.131,0.2,"(np.float64(0.075), np.float64(0.354))",0.999,"(np.float64(0.998), np.float64(0.999))",0.238,"(np.float64(0.053), np.float64(0.43))",0.294,"(np.float64(0.123), np.float64(0.514))",0.998,"(np.float64(0.997), np.float64(0.999))",0.803,"(np.float64(0.697), np.float64(0.912))",0.116,"(np.float64(0.032), np.float64(0.266))"
ANTERIOR INFARCT,5,9392,0.242,0.4,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(1.0), np.float64(1.0))",0.571,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(0.999), np.float64(1.0))",0.794,"(np.float64(0.471), np.float64(1.0))",0.403,"(np.float64(0.001), np.float64(0.906))"
NONSPECIFIC T WAVE ABNORMALITY,2544,6853,0.354,0.616,"(np.float64(0.6), np.float64(0.634))",0.815,"(np.float64(0.804), np.float64(0.824))",0.583,"(np.float64(0.569), np.float64(0.599))",0.553,"(np.float64(0.534), np.float64(0.568))",0.851,"(np.float64(0.842), np.float64(0.859))",0.78,"(np.float64(0.767), np.float64(0.791))",0.593,"(np.float64(0.567), np.float64(0.618))"
otherwise normal ecg,621,8776,0.162,0.395,"(np.float64(0.354), np.float64(0.436))",0.864,"(np.float64(0.858), np.float64(0.872))",0.238,"(np.float64(0.213), np.float64(0.263))",0.171,"(np.float64(0.154), np.float64(0.193))",0.953,"(np.float64(0.948), np.float64(0.958))",0.756,"(np.float64(0.739), np.float64(0.771))",0.164,"(np.float64(0.142), np.float64(0.192))"
PULMONARY DISEASE PATTERN,3,9394,0.03,0.333,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(1.0), np.float64(1.0))",0.5,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(0.999), np.float64(1.0))",0.731,"(np.float64(0.196), np.float64(1.0))",0.358,"(np.float64(0.0), np.float64(1.0))"
