Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
WITH VARIABLE AV BLOCK,67,9330,0.071,0.284,"(np.float64(0.193), np.float64(0.41))",0.998,"(np.float64(0.998), np.float64(0.999))",0.38,"(np.float64(0.258), np.float64(0.502))",0.576,"(np.float64(0.368), np.float64(0.777))",0.995,"(np.float64(0.994), np.float64(0.997))",0.935,"(np.float64(0.909), np.float64(0.956))",0.302,"(np.float64(0.216), np.float64(0.399))"
LEFT ATRIAL ENLARGEMENT,184,9213,0.071,0.424,"(np.float64(0.355), np.float64(0.49))",0.987,"(np.float64(0.984), np.float64(0.989))",0.404,"(np.float64(0.353), np.float64(0.481))",0.386,"(np.float64(0.332), np.float64(0.457))",0.988,"(np.float64(0.987), np.float64(0.991))",0.926,"(np.float64(0.913), np.float64(0.942))",0.378,"(np.float64(0.314), np.float64(0.448))"
EARLY REPOLARIZATION,249,9148,0.202,0.373,"(np.float64(0.328), np.float64(0.439))",0.988,"(np.float64(0.986), np.float64(0.99))",0.412,"(np.float64(0.35), np.float64(0.466))",0.458,"(np.float64(0.405), np.float64(0.525))",0.983,"(np.float64(0.981), np.float64(0.985))",0.925,"(np.float64(0.914), np.float64(0.938))",0.365,"(np.float64(0.3), np.float64(0.432))"
WITH AV DISSOCIATION,70,9327,0.071,0.371,"(np.float64(0.281), np.float64(0.511))",0.996,"(np.float64(0.995), np.float64(0.997))",0.397,"(np.float64(0.299), np.float64(0.488))",0.426,"(np.float64(0.312), np.float64(0.525))",0.995,"(np.float64(0.994), np.float64(0.997))",0.92,"(np.float64(0.891), np.float64(0.948))",0.279,"(np.float64(0.156), np.float64(0.38))"
LOW VOLTAGE QRS,277,9120,0.232,0.477,"(np.float64(0.418), np.float64(0.54))",0.975,"(np.float64(0.972), np.float64(0.978))",0.416,"(np.float64(0.368), np.float64(0.47))",0.37,"(np.float64(0.326), np.float64(0.41))",0.984,"(np.float64(0.981), np.float64(0.986))",0.916,"(np.float64(0.9), np.float64(0.931))",0.369,"(np.float64(0.315), np.float64(0.422))"
NORMAL ECG,1759,7638,0.374,0.781,"(np.float64(0.763), np.float64(0.795))",0.867,"(np.float64(0.86), np.float64(0.875))",0.662,"(np.float64(0.643), np.float64(0.679))",0.574,"(np.float64(0.551), np.float64(0.594))",0.945,"(np.float64(0.94), np.float64(0.951))",0.913,"(np.float64(0.908), np.float64(0.921))",0.67,"(np.float64(0.643), np.float64(0.696))"
WITH 2:1 AV CONDUCTION,40,9357,0.061,0.225,"(np.float64(0.124), np.float64(0.333))",0.999,"(np.float64(0.998), np.float64(0.999))",0.286,"(np.float64(0.179), np.float64(0.389))",0.391,"(np.float64(0.182), np.float64(0.563))",0.997,"(np.float64(0.995), np.float64(0.998))",0.906,"(np.float64(0.846), np.float64(0.941))",0.207,"(np.float64(0.098), np.float64(0.352))"
WITH JUNCTIONAL ESCAPE COMPLEXES,184,9213,0.051,0.457,"(np.float64(0.395), np.float64(0.528))",0.991,"(np.float64(0.989), np.float64(0.993))",0.48,"(np.float64(0.42), np.float64(0.537))",0.506,"(np.float64(0.44), np.float64(0.583))",0.989,"(np.float64(0.987), np.float64(0.991))",0.906,"(np.float64(0.879), np.float64(0.928))",0.412,"(np.float64(0.356), np.float64(0.497))"
LATERAL INFARCT,3,9394,0.0,1.0,"(np.float64(0.475), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.001,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.896,"(np.float64(0.84), np.float64(0.962))",0.002,"(np.float64(0.001), np.float64(0.007))"
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.877,"(np.float64(0.871), np.float64(0.883))",0.001,"(np.float64(0.001), np.float64(0.004))"
PROLONGED QT,427,8970,0.061,0.475,"(np.float64(0.429), np.float64(0.526))",0.949,"(np.float64(0.944), np.float64(0.954))",0.374,"(np.float64(0.333), np.float64(0.406))",0.308,"(np.float64(0.274), np.float64(0.34))",0.974,"(np.float64(0.971), np.float64(0.977))",0.863,"(np.float64(0.84), np.float64(0.877))",0.364,"(np.float64(0.33), np.float64(0.405))"
NONSPECIFIC T WAVE ABNORMALITY,2544,6853,0.424,0.688,"(np.float64(0.671), np.float64(0.708))",0.863,"(np.float64(0.855), np.float64(0.87))",0.669,"(np.float64(0.652), np.float64(0.68))",0.651,"(np.float64(0.637), np.float64(0.669))",0.882,"(np.float64(0.874), np.float64(0.887))",0.858,"(np.float64(0.848), np.float64(0.865))",0.732,"(np.float64(0.717), np.float64(0.749))"
INFERIOR INFARCT,8,9389,0.152,0.125,"(np.float64(0.0), np.float64(0.4))",1.0,"(np.float64(1.0), np.float64(1.0))",0.2,"(np.float64(0.0), np.float64(0.642))",0.5,"(np.float64(0.0), np.float64(1.0))",0.999,"(np.float64(0.999), np.float64(1.0))",0.843,"(np.float64(0.734), np.float64(0.945))",0.069,"(np.float64(0.002), np.float64(0.372))"
otherwise normal ecg,621,8776,0.121,0.459,"(np.float64(0.429), np.float64(0.504))",0.896,"(np.float64(0.891), np.float64(0.901))",0.314,"(np.float64(0.29), np.float64(0.34))",0.238,"(np.float64(0.213), np.float64(0.261))",0.959,"(np.float64(0.956), np.float64(0.962))",0.825,"(np.float64(0.81), np.float64(0.842))",0.256,"(np.float64(0.227), np.float64(0.286))"
ANTERIOR INFARCT,5,9392,0.121,0.2,"(np.float64(0.0), np.float64(0.537))",1.0,"(np.float64(1.0), np.float64(1.0))",0.333,"(np.float64(0.0), np.float64(0.71))",1.0,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(0.999), np.float64(1.0))",0.818,"(np.float64(0.453), np.float64(1.0))",0.239,"(np.float64(0.004), np.float64(0.8))"
ATRIAL FIBRILLATION,25,9372,0.03,0.2,"(np.float64(0.056), np.float64(0.372))",0.99,"(np.float64(0.989), np.float64(0.992))",0.082,"(np.float64(0.033), np.float64(0.145))",0.052,"(np.float64(0.01), np.float64(0.1))",0.998,"(np.float64(0.997), np.float64(0.999))",0.792,"(np.float64(0.702), np.float64(0.869))",0.026,"(np.float64(0.008), np.float64(0.067))"
PREMATURE VENTRICULAR COMPLEXES,6,9391,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.001,"(np.float64(0.0), np.float64(0.002))",0.001,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.778,"(np.float64(0.665), np.float64(0.986))",0.009,"(np.float64(0.0), np.float64(0.036))"
FUSION COMPLEXES,27,9370,0.02,0.185,"(np.float64(0.07), np.float64(0.334))",0.993,"(np.float64(0.991), np.float64(0.994))",0.098,"(np.float64(0.021), np.float64(0.164))",0.067,"(np.float64(0.015), np.float64(0.129))",0.998,"(np.float64(0.997), np.float64(0.998))",0.766,"(np.float64(0.68), np.float64(0.857))",0.031,"(np.float64(0.012), np.float64(0.073))"
PULMONARY DISEASE PATTERN,3,9394,0.0,1.0,"(np.float64(0.475), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.001,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.766,"(np.float64(0.575), np.float64(0.983))",0.003,"(np.float64(0.0), np.float64(0.015))"
