Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,336,9061,0.495,0.753,"(np.float64(0.707), np.float64(0.801))",0.984,"(np.float64(0.982), np.float64(0.986))",0.69,"(np.float64(0.651), np.float64(0.726))",0.637,"(np.float64(0.595), np.float64(0.686))",0.991,"(np.float64(0.989), np.float64(0.993))",0.965,"(np.float64(0.951), np.float64(0.975))",0.731,"(np.float64(0.673), np.float64(0.779))"
WITH VENTRICULAR ESCAPE COMPLEXES,32,9365,0.152,0.375,"(np.float64(0.178), np.float64(0.549))",0.996,"(np.float64(0.995), np.float64(0.997))",0.286,"(np.float64(0.169), np.float64(0.395))",0.231,"(np.float64(0.124), np.float64(0.341))",0.998,"(np.float64(0.997), np.float64(0.999))",0.963,"(np.float64(0.934), np.float64(0.984))",0.22,"(np.float64(0.102), np.float64(0.385))"
WITH JUNCTIONAL ESCAPE COMPLEXES,184,9213,0.263,0.56,"(np.float64(0.492), np.float64(0.631))",0.994,"(np.float64(0.992), np.float64(0.995))",0.597,"(np.float64(0.528), np.float64(0.643))",0.64,"(np.float64(0.581), np.float64(0.707))",0.991,"(np.float64(0.989), np.float64(0.993))",0.963,"(np.float64(0.951), np.float64(0.974))",0.577,"(np.float64(0.51), np.float64(0.637))"
LEFT VENTRICULAR HYPERTROPHY,348,9049,0.414,0.652,"(np.float64(0.602), np.float64(0.699))",0.989,"(np.float64(0.987), np.float64(0.991))",0.671,"(np.float64(0.628), np.float64(0.717))",0.69,"(np.float64(0.648), np.float64(0.736))",0.987,"(np.float64(0.984), np.float64(0.989))",0.96,"(np.float64(0.947), np.float64(0.969))",0.71,"(np.float64(0.669), np.float64(0.754))"
RIGHT ATRIAL ENLARGEMENT,201,9196,0.202,0.592,"(np.float64(0.537), np.float64(0.642))",0.982,"(np.float64(0.98), np.float64(0.985))",0.494,"(np.float64(0.436), np.float64(0.551))",0.423,"(np.float64(0.363), np.float64(0.479))",0.991,"(np.float64(0.989), np.float64(0.993))",0.959,"(np.float64(0.945), np.float64(0.97))",0.5,"(np.float64(0.429), np.float64(0.571))"
WITH AV DISSOCIATION,70,9327,0.283,0.4,"(np.float64(0.286), np.float64(0.503))",0.997,"(np.float64(0.996), np.float64(0.998))",0.434,"(np.float64(0.322), np.float64(0.531))",0.475,"(np.float64(0.363), np.float64(0.606))",0.996,"(np.float64(0.994), np.float64(0.997))",0.959,"(np.float64(0.931), np.float64(0.975))",0.4,"(np.float64(0.262), np.float64(0.514))"
EARLY REPOLARIZATION,249,9148,0.212,0.542,"(np.float64(0.473), np.float64(0.603))",0.991,"(np.float64(0.989), np.float64(0.993))",0.582,"(np.float64(0.534), np.float64(0.629))",0.628,"(np.float64(0.555), np.float64(0.687))",0.988,"(np.float64(0.985), np.float64(0.989))",0.954,"(np.float64(0.946), np.float64(0.964))",0.573,"(np.float64(0.517), np.float64(0.624))"
LOW VOLTAGE QRS,277,9120,0.364,0.578,"(np.float64(0.514), np.float64(0.631))",0.988,"(np.float64(0.985), np.float64(0.99))",0.582,"(np.float64(0.527), np.float64(0.63))",0.586,"(np.float64(0.523), np.float64(0.648))",0.987,"(np.float64(0.985), np.float64(0.989))",0.948,"(np.float64(0.935), np.float64(0.962))",0.601,"(np.float64(0.555), np.float64(0.652))"
LEFT ATRIAL ENLARGEMENT,184,9213,0.404,0.603,"(np.float64(0.527), np.float64(0.672))",0.989,"(np.float64(0.987), np.float64(0.991))",0.559,"(np.float64(0.498), np.float64(0.637))",0.521,"(np.float64(0.458), np.float64(0.585))",0.992,"(np.float64(0.991), np.float64(0.994))",0.945,"(np.float64(0.916), np.float64(0.962))",0.568,"(np.float64(0.495), np.float64(0.639))"
LATERAL INFARCT,3,9394,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.001,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.939,"(np.float64(0.905), np.float64(1.0))",0.169,"(np.float64(0.001), np.float64(0.824))"
NORMAL ECG,1759,7638,0.586,0.767,"(np.float64(0.748), np.float64(0.787))",0.917,"(np.float64(0.912), np.float64(0.925))",0.722,"(np.float64(0.705), np.float64(0.735))",0.681,"(np.float64(0.659), np.float64(0.698))",0.945,"(np.float64(0.94), np.float64(0.949))",0.937,"(np.float64(0.933), np.float64(0.942))",0.75,"(np.float64(0.727), np.float64(0.769))"
ANTEROSEPTAL INFARCT,14,9383,0.02,0.5,"(np.float64(0.25), np.float64(0.84))",0.983,"(np.float64(0.98), np.float64(0.985))",0.077,"(np.float64(0.032), np.float64(0.123))",0.042,"(np.float64(0.016), np.float64(0.083))",0.999,"(np.float64(0.999), np.float64(1.0))",0.935,"(np.float64(0.885), np.float64(0.976))",0.03,"(np.float64(0.016), np.float64(0.061))"
PULMONARY DISEASE PATTERN,3,9394,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.001,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.932,"(np.float64(0.818), np.float64(0.995))",0.011,"(np.float64(0.001), np.float64(0.054))"
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.931,"(np.float64(0.926), np.float64(0.935))",0.002,"(np.float64(0.001), np.float64(0.005))"
PROLONGED QT,427,8970,0.232,0.56,"(np.float64(0.499), np.float64(0.603))",0.976,"(np.float64(0.973), np.float64(0.979))",0.541,"(np.float64(0.494), np.float64(0.577))",0.523,"(np.float64(0.486), np.float64(0.562))",0.979,"(np.float64(0.976), np.float64(0.982))",0.917,"(np.float64(0.903), np.float64(0.929))",0.573,"(np.float64(0.528), np.float64(0.62))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.131,0.533,"(np.float64(0.357), np.float64(0.651))",0.998,"(np.float64(0.997), np.float64(0.999))",0.552,"(np.float64(0.41), np.float64(0.667))",0.571,"(np.float64(0.395), np.float64(0.721))",0.998,"(np.float64(0.997), np.float64(0.999))",0.909,"(np.float64(0.858), np.float64(0.948))",0.479,"(np.float64(0.33), np.float64(0.651))"
NONSPECIFIC T WAVE ABNORMALITY,2544,6853,0.283,0.733,"(np.float64(0.717), np.float64(0.749))",0.91,"(np.float64(0.903), np.float64(0.917))",0.743,"(np.float64(0.731), np.float64(0.758))",0.752,"(np.float64(0.735), np.float64(0.767))",0.902,"(np.float64(0.895), np.float64(0.909))",0.906,"(np.float64(0.898), np.float64(0.912))",0.806,"(np.float64(0.793), np.float64(0.82))"
PREMATURE VENTRICULAR COMPLEXES,6,9391,0.03,0.333,"(np.float64(0.0), np.float64(0.692))",0.998,"(np.float64(0.997), np.float64(0.999))",0.174,"(np.float64(0.0), np.float64(0.405))",0.118,"(np.float64(0.0), np.float64(0.289))",1.0,"(np.float64(0.999), np.float64(1.0))",0.854,"(np.float64(0.683), np.float64(0.997))",0.049,"(np.float64(0.002), np.float64(0.237))"
otherwise normal ecg,621,8776,0.162,0.523,"(np.float64(0.483), np.float64(0.552))",0.864,"(np.float64(0.858), np.float64(0.871))",0.304,"(np.float64(0.284), np.float64(0.328))",0.214,"(np.float64(0.194), np.float64(0.234))",0.962,"(np.float64(0.958), np.float64(0.967))",0.825,"(np.float64(0.81), np.float64(0.839))",0.219,"(np.float64(0.195), np.float64(0.245))"
FUSION COMPLEXES,27,9370,0.051,0.037,"(np.float64(0.0), np.float64(0.095))",1.0,"(np.float64(1.0), np.float64(1.0))",0.069,"(np.float64(0.0), np.float64(0.219))",0.5,"(np.float64(0.0), np.float64(1.0))",0.997,"(np.float64(0.996), np.float64(0.998))",0.8,"(np.float64(0.729), np.float64(0.88))",0.056,"(np.float64(0.01), np.float64(0.156))"
ATRIAL FIBRILLATION,25,9372,0.03,0.16,"(np.float64(0.0), np.float64(0.308))",0.998,"(np.float64(0.997), np.float64(0.999))",0.178,"(np.float64(0.047), np.float64(0.321))",0.2,"(np.float64(0.056), np.float64(0.411))",0.998,"(np.float64(0.997), np.float64(0.999))",0.796,"(np.float64(0.689), np.float64(0.875))",0.103,"(np.float64(0.041), np.float64(0.26))"
INFERIOR INFARCT,8,9389,0.02,0.125,"(np.float64(0.0), np.float64(0.452))",0.998,"(np.float64(0.997), np.float64(0.999))",0.077,"(np.float64(0.0), np.float64(0.211))",0.056,"(np.float64(0.0), np.float64(0.143))",0.999,"(np.float64(0.999), np.float64(1.0))",0.796,"(np.float64(0.612), np.float64(0.972))",0.053,"(np.float64(0.007), np.float64(0.156))"
PREMATURE ATRIAL COMPLEXES,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.705,"(np.float64(0.697), np.float64(0.713))",0.0,"(np.float64(0.0), np.float64(0.001))"
ANTERIOR INFARCT,5,9392,0.01,0.4,"(np.float64(0.0), np.float64(1.0))",0.997,"(np.float64(0.995), np.float64(0.998))",0.103,"(np.float64(0.0), np.float64(0.228))",0.059,"(np.float64(0.0), np.float64(0.158))",1.0,"(np.float64(0.999), np.float64(1.0))",0.673,"(np.float64(0.266), np.float64(0.999))",0.041,"(np.float64(0.0), np.float64(0.264))"
